Name,API Name,Instance Family,Compute Units (ECU),Intel Turbo,Arch,Availability Zones, On Demand (Monthly) , Linux Reserved cost (Monthly) , SLES Spot Maximum cost (Monthly) , Windows On Demand cost (Monthly) 
G4DN 16xlarge Extra Large,g4dn.16xlarge,g4dn,0 units,Yes,x86_64,," $3,367.490 "," $2,192.190 "," $1,111.936 "," $5,516.61 "
G4DN Double Extra Large,g4dn.2xlarge,g4dn,0 units,Yes,x86_64,, $581.810 , $378.870 , $360.620 , $850.45 
G4DN Quadruple Extra Large,g4dn.4xlarge,g4dn,0 units,Yes,x86_64,, $931.480 , $606.630 , $429.678 ," $1,468.76 "
G4DN Eight Extra Large,g4dn.8xlarge,g4dn,0 units,Yes,x86_64,," $1,684.110 "," $1,000.830 ", $681.309 ," $2,758.67 "
G4DN Metal,g4dn.metal,g4dn,0 units,Yes,x86_64,," $5,711.520 "," $3,598.170 "," $2,994.752 "," $8,935.20 "
G4DN Extra Large,g4dn.xlarge,g4dn,0 units,Yes,x86_64,, $407.340 , $264.990 , $201.699 , $541.66 
G5 Graphics and Machine Learning GPU 12xlarge Extra Large,g5.12xlarge,g5,0 units,unknown,x86_64,," $4,554.616 "," $2,869.411 "," $2,038.379 "," $6,166.46 "
G5 Graphics and Machine Learning GPU 16xlarge Extra Large,g5.16xlarge,g5,0 units,unknown,x86_64,," $3,289.088 "," $2,072.127 "," $1,446.057 "," $5,438.21 "
G5 Graphics and Machine Learning GPU 24xlarge,g5.24xlarge,g5,0 units,unknown,x86_64,," $6,539.632 "," $4,119.967 "," $3,157.980 "," $9,763.31 "
G5 Graphics and Machine Learning GPU Double Extra Large,g5.2xlarge,g5,0 units,unknown,x86_64,, $973.236 , $557.399 , $513.044 ," $1,241.88 "
G5 Graphics and Machine Learning GPU 48xlarge,g5.48xlarge,g5,0 units,unknown,x86_64,," $13,079.264 "," $8,239.933 "," $6,024.690 "," $19,526.62 "
G5 Graphics and Machine Learning GPU Quadruple Extra Large,g5.4xlarge,g5,0 units,unknown,x86_64,," $1,304.072 ", $746.878 , $597.359 ," $1,841.35 "
G5 Graphics and Machine Learning GPU Eight Extra Large,g5.8xlarge,g5,0 units,unknown,x86_64,," $1,965.744 "," $1,125.835 ", $929.582 ," $3,040.30 "
G5 Graphics and Machine Learning GPU Extra Large,g5.xlarge,g5,0 units,unknown,x86_64,, $807.818 , $462.659 , $377.191 , $942.14 
G5G 16xlarge Extra Large,g5g.16xlarge,g5g,0 units,unknown,arm64,," $2,003.120 "," $1,261.951 ", $715.619 , unavailable 
G5G Double Extra Large,g5g.2xlarge,g5g,0 units,unknown,arm64,, $430.262 , $255.719 , $388.944 , unavailable 
G5G Quadruple Extra Large,g5g.4xlarge,g5g,0 units,unknown,arm64,, $640.721 , $380.768 , $332.077 , unavailable 
G5G Eight Extra Large,g5g.8xlarge,g5g,0 units,unknown,arm64,," $1,061.639 ", $691.091 , $580.788 , unavailable 
G5G Metal,g5g.metal,g5g,0 units,unknown,arm64,," $2,003.120 "," $1,261.951 ", $727.591 , unavailable 
G5G Extra Large,g5g.xlarge,g5g,0 units,unknown,arm64,, $324.996 , $193.158 , $161.768 , unavailable 
G6 Graphics and Machine Learning GPU 12xlarge Extra Large,g6.12xlarge,g6,0 units,unknown,x86_64,," $3,695.085 "," $2,186.817 "," $1,854.273 "," $5,306.92 "
G6 Graphics and Machine Learning GPU 16xlarge Extra Large,g6.16xlarge,g6,0 units,unknown,x86_64,," $2,727.630 "," $1,775.689 "," $1,199.390 "," $4,876.75 "
G6 Graphics and Machine Learning GPU 24xlarge,g6.24xlarge,g6,0 units,unknown,x86_64,," $5,360.186 "," $3,172.259 "," $3,259.231 "," $8,583.87 "
G6 Graphics and Machine Learning GPU Double Extra Large,g6.2xlarge,g6,0 units,unknown,x86_64,, $785.013 , $511.044 , $470.266 ," $1,053.65 "
G6 Graphics and Machine Learning GPU 48xlarge,g6.48xlarge,g6,0 units,unknown,x86_64,," $9,745.792 "," $6,344.510 "," $5,829.780 "," $16,193.15 "
G6 Graphics and Machine Learning GPU Quadruple Extra Large,g6.4xlarge,g6,0 units,unknown,x86_64,," $1,062.530 ", $628.822 , $608.017 ," $1,599.81 "
G6 Graphics and Machine Learning GPU Eight Extra Large,g6.8xlarge,g6,0 units,unknown,x86_64,," $1,617.563 "," $1,053.032 ", $753.433 ," $2,692.12 "
G6 Graphics and Machine Learning GPU Extra Large,g6.xlarge,g6,0 units,unknown,x86_64,, $646.254 , $420.714 , $350.473 , $780.57 
G6e Graphics and Machine Learning GPU 12xlarge Extra Large,g6e.12xlarge,g6e,0 units,unknown,x86_64,," $8,425.587 "," $5,308.122 "," $4,467.454 "," $10,037.43 "
G6e Graphics and Machine Learning GPU 16xlarge Extra Large,g6e.16xlarge,g6e,0 units,unknown,x86_64,," $6,084.484 "," $3,484.750 "," $2,326.583 "," $8,233.60 "
G6e Graphics and Machine Learning GPU 24xlarge,g6e.24xlarge,g6e,0 units,unknown,x86_64,," $12,097.670 "," $6,928.664 "," $4,735.218 "," $15,321.35 "
G6e Graphics and Machine Learning GPU Double Extra Large,g6e.2xlarge,g6e,0 units,unknown,x86_64,," $1,800.392 "," $1,031.132 "," $1,299.473 "," $2,069.03 "
G6e Graphics and Machine Learning GPU 48xlarge,g6e.48xlarge,g6e,0 units,unknown,x86_64,," $21,995.761 "," $13,857.327 "," $14,870.027 "," $28,443.12 "
G6e Graphics and Machine Learning GPU Quadruple Extra Large,g6e.4xlarge,g6e,0 units,unknown,x86_64,," $2,412.402 "," $1,519.816 "," $1,194.207 "," $2,949.68 "
G6e Graphics and Machine Learning GPU Eight Extra Large,g6e.8xlarge,g6e,0 units,unknown,x86_64,," $3,636.429 "," $2,290.952 "," $1,345.974 "," $4,710.99 "
G6e Graphics and Machine Learning GPU Extra Large,g6e.xlarge,g6e,0 units,unknown,x86_64,," $1,494.383 ", $855.874 , $861.181 ," $1,628.70 "
G6F Double Extra Large,g6f.2xlarge,g6f,0 units,unknown,x86_64,, $381.425 , unavailable , $180.675 , $650.07 
G6F Quadruple Extra Large,g6f.4xlarge,g6f,0 units,unknown,x86_64,, $762.850 , unavailable , $275.137 ," $1,300.13 "
G6F Large,g6f.large,g6f,0 units,unknown,x86_64,, $162.206 , unavailable , $80.665 , $229.37 
G6F Extra Large,g6f.xlarge,g6f,0 units,unknown,x86_64,, $190.713 , unavailable , $84.388 , $325.03 
Gr6 Graphics and Machine Learning GPU High RAM ratio Quadruple Extra Large,gr6.4xlarge,gr6,0 units,unknown,x86_64,," $1,235.978 ", $731.475 , $622.471 ," $1,773.26 "
Gr6 Graphics and Machine Learning GPU High RAM ratio Eight Extra Large,gr6.8xlarge,gr6,0 units,unknown,x86_64,," $1,964.459 "," $1,278.865 ", $923.961 ," $3,039.02 "
GR6F Quadruple Extra Large,gr6f.4xlarge,gr6f,0 units,unknown,x86_64,, $855.998 , unavailable , $301.928 ," $1,393.28 "
H1 16xlarge Extra Large,h1.16xlarge,h1,201 units,Yes,x86_64,," $3,212.000 "," $1,857.850 "," $2,119.993 "," $5,361.12 "
H1 Double Extra Large,h1.2xlarge,h1,31 units,Yes,x86_64,, $427.780 , $254.040 , $414.640 , $696.42 
H1 Quadruple Extra Large,h1.4xlarge,h1,58 units,Yes,x86_64,, $854.830 , $464.280 , $756.280 ," $1,392.11 "
