Name,API Name,Instance Family,Compute Units (ECU),Intel Turbo,Arch,Availability Zones, On Demand (Monthly) , Linux Reserved cost (Monthly) , SLES Spot Maximum cost (Monthly) , Windows On Demand cost (Monthly) 
M7A Medium,m7a.medium,m7a,0 units,unknown,x86_64,, $46.545 , $30.784 , $57.670 , $80.12 
M7A Metal-48xl,m7a.metal-48xl,m7a,0 units,unknown,x86_64,," $8,123.674 "," $5,373.807 "," $6,878.936 "," $14,571.03 "
M7A Extra Large,m7a.xlarge,m7a,0 units,unknown,x86_64,, $186.165 , $111.953 , $119.720 , $320.48 
M7G 12xlarge Extra Large,m7g.12xlarge,m7g,0 units,unknown,arm64,," $1,519.714 ", $945.715 , $657.511 , unavailable 
M7G 16xlarge Extra Large,m7g.16xlarge,m7g,0 units,unknown,arm64,," $1,906.176 "," $1,260.929 ", $763.434 , unavailable 
M7G Double Extra Large,m7g.2xlarge,m7g,0 units,unknown,arm64,, $253.310 , $157.607 , $189.216 , unavailable 
M7G Quadruple Extra Large,m7g.4xlarge,m7g,0 units,unknown,arm64,, $506.547 , $315.214 , $306.016 , unavailable 
M7G Eight Extra Large,m7g.8xlarge,m7g,0 units,unknown,arm64,," $1,013.167 ", $630.501 , $454.352 , unavailable 
M7G Large,m7g.large,m7g,0 units,unknown,arm64,, $63.291 , $43.143 , $70.518 , unavailable 
M7G Medium,m7g.medium,m7g,0 units,unknown,arm64,, $31.682 , $19.710 , $53.144 , unavailable 
M7G Metal,m7g.metal,m7g,0 units,unknown,arm64,," $1,906.176 "," $1,260.929 ", $757.959 , unavailable 
M7G Extra Large,m7g.xlarge,m7g,0 units,unknown,arm64,, $126.655 , $86.286 , $92.856 , unavailable 
M7GD 12xlarge Extra Large,m7gd.12xlarge,m7gd,0 units,unknown,arm64,," $1,983.118 "," $1,178.658 ", $753.214 , unavailable 
M7GD 16xlarge Extra Large,m7gd.16xlarge,m7gd,0 units,unknown,arm64,," $2,494.483 "," $1,571.544 "," $1,112.228 ", unavailable 
M7GD Double Extra Large,m7gd.2xlarge,m7gd,0 units,unknown,arm64,, $330.544 , $196.443 , $256.668 , unavailable 
M7GD Quadruple Extra Large,m7gd.4xlarge,m7gd,0 units,unknown,arm64,, $661.015 , $392.886 , $408.508 , unavailable 
M7GD Eight Extra Large,m7gd.8xlarge,m7gd,0 units,unknown,arm64,," $1,322.103 ", $785.772 , $687.733 , unavailable 
M7GD Large,m7gd.large,m7gd,0 units,unknown,arm64,, $82.636 , $53.801 , $75.774 , unavailable 
M7GD Medium,m7gd.medium,m7gd,0 units,unknown,arm64,, $41.318 , $24.528 , $54.312 , unavailable 
M7GD Metal,m7gd.metal,m7gd,0 units,unknown,arm64,," $2,494.483 "," $1,571.544 ", $916.515 , unavailable 
M7GD Extra Large,m7gd.xlarge,m7gd,0 units,unknown,arm64,, $165.272 , $98.185 , $117.968 , unavailable 
M7I-FLEX 12xlarge Extra Large,m7i-flex.12xlarge,m7i-flex,0 units,Yes,x86_64,," $1,677.715 "," $1,109.739 ", $871.182 ," $3,289.56 "
M7I-FLEX 16xlarge Extra Large,m7i-flex.16xlarge,m7i-flex,0 units,Yes,x86_64,," $2,236.954 "," $1,479.652 ", $949.292 ," $4,386.07 "
M7I-FLEX Double Extra Large,m7i-flex.2xlarge,m7i-flex,0 units,Yes,x86_64,, $279.619 , $184.953 , $241.630 , $534.83 
M7I-FLEX Quadruple Extra Large,m7i-flex.4xlarge,m7i-flex,0 units,Yes,x86_64,, $559.238 , $369.913 , $352.225 ," $1,069.65 "
M7I-FLEX Eight Extra Large,m7i-flex.8xlarge,m7i-flex,0 units,Yes,x86_64,," $1,118.477 ", $739.826 , $654.810 ," $2,139.31 "
M7I-FLEX Large,m7i-flex.large,m7i-flex,0 units,Yes,x86_64,, $69.905 , $46.238 , $65.554 , $133.71 
M7I-FLEX Extra Large,m7i-flex.xlarge,m7i-flex,0 units,Yes,x86_64,, $139.810 , $92.476 , $102.492 , $267.41 
M7I 12xlarge Extra Large,m7i.12xlarge,m7i,0 units,Yes,x86_64,," $1,942.618 "," $1,168.219 ", $955.570 ," $3,554.46 "
M7I 16xlarge Extra Large,m7i.16xlarge,m7i,0 units,Yes,x86_64,," $2,590.157 "," $1,557.623 ", $990.902 ," $4,739.28 "
M7I 24xlarge,m7i.24xlarge,m7i,0 units,Yes,x86_64,," $3,885.235 "," $2,336.438 "," $1,399.118 "," $7,108.92 "
M7I Double Extra Large,m7i.2xlarge,m7i,0 units,Yes,x86_64,, $323.770 , $194.706 , $212.868 , $592.41 
M7I 48xlarge,m7i.48xlarge,m7i,0 units,Yes,x86_64,," $7,064.064 "," $4,672.876 "," $3,186.012 "," $13,511.42 "
M7I Quadruple Extra Large,m7i.4xlarge,m7i,0 units,Yes,x86_64,, $647.539 , $428.349 , $340.253 ," $1,184.82 "
M7I Eight Extra Large,m7i.8xlarge,m7i,0 units,Yes,x86_64,," $1,295.078 ", $856.692 , $752.776 ," $2,369.64 "
M7I Large,m7i.large,m7i,0 units,Yes,x86_64,, $80.942 , $48.676 , $71.467 , $148.10 
M7I Metal-24xl,m7i.metal-24xl,m7i,0 units,Yes,x86_64,," $3,885.235 "," $2,336.438 "," $1,262.973 "," $7,108.92 "
M7I Metal-48xl,m7i.metal-48xl,m7i,0 units,Yes,x86_64,," $7,064.064 "," $4,672.876 "," $2,890.143 "," $13,511.42 "
M7I Extra Large,m7i.xlarge,m7i,0 units,Yes,x86_64,, $161.885 , $107.084 , $98.185 , $296.20 
M8G 12xlarge Extra Large,m8g.12xlarge,m8g,0 units,unknown,arm64,," $1,729.852 "," $1,040.272 ", $836.434 , unavailable 
M8G 16xlarge Extra Large,m8g.16xlarge,m8g,0 units,unknown,arm64,," $2,306.472 "," $1,387.029 ", $989.661 , unavailable 
M8G 24xlarge,m8g.24xlarge,m8g,0 units,unknown,arm64,," $3,459.711 "," $2,080.544 "," $1,185.812 ", unavailable 
M8G Double Extra Large,m8g.2xlarge,m8g,0 units,unknown,arm64,, $288.306 , $190.720 , $191.698 , unavailable 
M8G 48xlarge,m8g.48xlarge,m8g,0 units,unknown,arm64,," $6,290.381 "," $4,161.088 "," $2,476.817 ", unavailable 
M8G Quadruple Extra Large,m8g.4xlarge,m8g,0 units,unknown,arm64,, $576.620 , $346.757 , $317.696 , unavailable 
M8G Eight Extra Large,m8g.8xlarge,m8g,0 units,unknown,arm64,," $1,153.239 ", $693.515 , $493.480 , unavailable 
M8G Large,m8g.large,m8g,0 units,unknown,arm64,, $72.080 , $47.676 , $72.197 , unavailable 
M8G Medium,m8g.medium,m8g,0 units,unknown,arm64,, $36.040 , $23.842 , $52.998 , unavailable 
M8G Metal-24xl,m8g.metal-24xl,m8g,0 units,unknown,arm64,," $3,459.711 "," $2,288.601 "," $1,106.899 ", unavailable 
M8G Metal-48xl,m8g.metal-48xl,m8g,0 units,unknown,arm64,," $6,290.381 "," $4,161.088 "," $2,221.901 ", unavailable 
M8G Extra Large,m8g.xlarge,m8g,0 units,unknown,arm64,, $144.153 , $86.688 , $101.835 , unavailable 
M8GD 12xlarge Extra Large,m8gd.12xlarge,m8gd,0 units,unknown,arm64,," $2,222.449 ", unavailable ," $2,111.671 ", unavailable 
M8GD 16xlarge Extra Large,m8gd.16xlarge,m8gd,0 units,unknown,arm64,," $2,963.260 ", unavailable ," $2,785.096 ", unavailable 
M8GD 24xlarge,m8gd.24xlarge,m8gd,0 units,unknown,arm64,," $4,444.897 ", unavailable ," $2,311.764 ", unavailable 
M8GD Double Extra Large,m8gd.2xlarge,m8gd,0 units,unknown,arm64,, $370.409 , unavailable , $427.999 , unavailable 
M8GD 48xlarge,m8gd.48xlarge,m8gd,0 units,unknown,arm64,," $8,081.626 ", unavailable ," $8,172.861 ", unavailable 
M8GD Quadruple Extra Large,m8gd.4xlarge,m8gd,0 units,unknown,arm64,, $740.819 , unavailable , $764.748 , unavailable 
M8GD Eight Extra Large,m8gd.8xlarge,m8gd,0 units,unknown,arm64,," $1,481.630 ", unavailable , $774.603 , unavailable 
M8GD Large,m8gd.large,m8gd,0 units,unknown,arm64,, $92.601 , unavailable , $125.268 , unavailable 
M8GD Medium,m8gd.medium,m8gd,0 units,unknown,arm64,, $46.304 , unavailable , $83.220 , unavailable 
M8GD Metal-24xl,m8gd.metal-24xl,m8gd,0 units,unknown,arm64,," $4,444.897 ", unavailable ," $4,132.092 ", unavailable 
M8GD Metal-48xl,m8gd.metal-48xl,m8gd,0 units,unknown,arm64,," $8,081.626 ", unavailable ," $8,172.861 ", unavailable 
M8GD Extra Large,m8gd.xlarge,m8gd,0 units,unknown,arm64,, $185.201 , unavailable , $209.437 , unavailable 
MAC1 Metal,mac1.metal,mac1,0 units,Yes,x86_64_mac,, unavailable , unavailable , unavailable , unavailable 
MAC2-M1ULTRA Metal,mac2-m1ultra.metal,mac2-m1ultra,0 units,unknown,arm64_mac,, unavailable , unavailable , unavailable , unavailable 
MAC2-M2 Metal,mac2-m2.metal,mac2-m2,0 units,unknown,arm64_mac,, unavailable , unavailable , unavailable , unavailable 
MAC2-M2PRO Metal,mac2-m2pro.metal,mac2-m2pro,0 units,unknown,arm64_mac,, unavailable , unavailable , unavailable , unavailable 
MAC2 Metal,mac2.metal,mac2,0 units,unknown,arm64_mac,, unavailable , unavailable , unavailable , unavailable 
P2 General Purpose GPU 16xlarge Extra Large,p2.16xlarge,p2,201 units,Yes,x86_64,," $10,512.000 ", unavailable , unavailable ," $12,661.12 "
P2 General Purpose GPU Eight Extra Large,p2.8xlarge,p2,97 units,Yes,x86_64,," $5,781.600 ", unavailable , unavailable ," $6,856.16 "
P2 General Purpose GPU Extra Large,p2.xlarge,p2,16 units,Yes,x86_64,, $722.700 , unavailable , unavailable , $857.02 
P3 High Performance GPU 16xlarge Extra Large,p3.16xlarge,p3,201 units,Yes,x86_64,," $17,870.400 ", unavailable ," $5,640.345 "," $20,019.52 "
P3 High Performance GPU Double Extra Large,p3.2xlarge,p3,31 units,Yes,x86_64,," $2,379.070 ", unavailable , $772.340 ," $2,647.71 "
P3 High Performance GPU Eight Extra Large,p3.8xlarge,p3,97 units,Yes,x86_64,," $9,516.280 ", unavailable ," $2,437.981 "," $10,590.84 "
P3DN 24xlarge,p3dn.24xlarge,p3dn,337 units,Yes,x86_64,," $22,784.760 "," $14,026.950 "," $7,091.074 "," $26,008.44 "
P4D Highest Performance GPU 24xlarge,p4d.24xlarge,p4d,345 units,Yes,x86_64,," $17,631.986 "," $11,178.638 "," $8,117.673 ", unavailable 
P4DE 24xlarge,p4de.24xlarge,p4de,345 units,Yes,x86_64,," $22,039.981 "," $12,702.996 "," $9,248.078 ", unavailable 
P5 48xlarge,p5.48xlarge,p5,0 units,unknown,x86_64,," $44,197.120 ", unavailable ," $14,403.849 ", unavailable 
P5 Quadruple Extra Large,p5.4xlarge,p5,0 units,unknown,x86_64,," $5,524.640 ", unavailable , unavailable , unavailable 
P5e High Performance Computing GPU 48xlarge,p5e.48xlarge,p5e,0 units,unknown,x86_64,, unavailable , unavailable , unavailable , unavailable 
P5en High Performance Computing GPU 48xlarge,p5en.48xlarge,p5en,0 units,unknown,x86_64,," $50,826.688 ", unavailable ," $15,625.869 ", unavailable 
P6-B200 High Performance and Machine Learning GPU 48xlarge,p6-b200.48xlarge,p6-b200,0 units,unknown,x86_64,," $88,161.202 ", unavailable ," $22,997.263 ", unavailable 
P6E-GB200 36xlarge,p6e-gb200.36xlarge,p6e-gb200,0 units,unknown,x86_64,, unavailable , unavailable , unavailable , unavailable 
R3 High-Memory Double Extra Large,r3.2xlarge,r3,26 units,Yes,x86_64,, $534.360 , $335.800 , $315.068 , $839.50 
R3 High-Memory Quadruple Extra Large,r3.4xlarge,r3,52 units,Yes,x86_64,," $1,067.990 ", $610.280 , $543.266 ," $1,560.74 "
R3 High-Memory Eight Extra Large,r3.8xlarge,r3,104 units,Yes,x86_64,," $1,941.800 "," $1,220.560 "," $1,154.495 "," $2,555.00 "
R3 High-Memory Large,r3.large,r3,6.5 units,Yes,x86_64,, $133.590 , $83.950 , $121.472 , $233.60 
R3 High-Memory Extra Large,r3.xlarge,r3,13 units,Yes,x86_64,, $267.180 , $167.900 , $159.140 , $467.93 
R4 High-Memory 16xlarge Extra Large,r4.16xlarge,r4,201 units,Yes,x86_64,," $3,106.880 "," $1,962.240 "," $1,399.848 "," $5,256.00 "
R4 High-Memory Double Extra Large,r4.2xlarge,r4,31 units,Yes,x86_64,, $427.050 , $245.280 , $287.182 , $695.69 
R4 High-Memory Quadruple Extra Large,r4.4xlarge,r4,58 units,Yes,x86_64,, $854.100 , $539.616 , $421.940 ," $1,391.38 "
R4 High-Memory Eight Extra Large,r4.8xlarge,r4,97 units,Yes,x86_64,," $1,708.930 ", $981.120 , $694.084 ," $2,783.49 "
R4 High-Memory Large,r4.large,r4,8 units,Yes,x86_64,, $106.580 , $61.320 , $160.089 , $173.74 
R4 High-Memory Extra Large,r4.xlarge,r4,16 units,Yes,x86_64,, $213.890 , $122.640 , $169.506 , $348.21 
R5 12xlarge Extra Large,r5.12xlarge,r5,168 units,Yes,x86_64,," $2,339.650 "," $1,390.650 ", $871.474 ," $3,951.49 "
R5 16xlarge Extra Large,r5.16xlarge,r5,256 units,Yes,x86_64,," $3,120.020 "," $2,030.860 "," $1,120.185 "," $5,269.14 "
R5 24xlarge,r5.24xlarge,r5,337 units,Yes,x86_64,," $4,415.040 "," $2,781.300 "," $1,767.768 "," $7,638.72 "
R5 Double Extra Large,r5.2xlarge,r5,37 units,Yes,x86_64,, $389.820 , $232.140 , $256.303 , $658.46 
R5 Quadruple Extra Large,r5.4xlarge,r5,70 units,Yes,x86_64,, $779.640 , $508.080 , $399.164 ," $1,316.92 "
R5 Eight Extra Large,r5.8xlarge,r5,128 units,Yes,x86_64,," $1,560.010 "," $1,015.430 ", $613.711 ," $2,634.57 "
R5 Large,r5.large,r5,10 units,Yes,x86_64,, $97.820 , $57.670 , $79.862 , $164.98 
R5 Metal,r5.metal,r5,347 units,Yes,x86_64,," $4,415.040 "," $2,781.300 "," $1,666.736 "," $7,638.72 "
R5 Extra Large,r5.xlarge,r5,19 units,Yes,x86_64,, $194.910 , $127.020 , $110.522 , $329.23 
R5A 12xlarge Extra Large,r5a.12xlarge,r5a,0 units,unknown,x86_64,," $2,098.750 "," $1,365.830 "," $1,060.106 "," $3,710.59 "
R5A 16xlarge Extra Large,r5a.16xlarge,r5a,0 units,unknown,x86_64,," $2,798.090 "," $1,662.940 "," $1,147.560 "," $4,947.21 "
R5A 24xlarge,r5a.24xlarge,r5a,0 units,unknown,x86_64,," $4,197.500 "," $2,494.410 "," $1,625.710 "," $7,421.18 "
R5A Double Extra Large,r5a.2xlarge,r5a,0 units,unknown,x86_64,, $349.670 , $208.050 , $251.339 , $618.31 
R5A Quadruple Extra Large,r5a.4xlarge,r5a,0 units,unknown,x86_64,, $699.340 , $416.100 , $390.112 ," $1,236.62 "
R5A Eight Extra Large,r5a.8xlarge,r5a,0 units,unknown,x86_64,," $1,399.410 ", $831.470 , $722.700 ," $2,473.97 "
R5A Large,r5a.large,r5a,0 units,unknown,x86_64,, $87.600 , $51.830 , $76.723 , $154.76 
R5A Extra Large,r5a.xlarge,r5a,0 units,unknown,x86_64,, $175.200 , $113.880 , $122.056 , $309.52 
R5AD 12xlarge Extra Large,r5ad.12xlarge,r5ad,0 units,unknown,x86_64,," $2,433.820 "," $1,446.130 "," $1,231.364 "," $4,045.66 "
R5AD 16xlarge Extra Large,r5ad.16xlarge,r5ad,0 units,unknown,x86_64,," $3,244.120 "," $1,927.930 "," $1,309.036 "," $5,393.24 "
R5AD 24xlarge,r5ad.24xlarge,r5ad,0 units,unknown,x86_64,," $4,866.910 "," $3,167.470 "," $1,854.930 "," $8,090.59 "
R5AD Double Extra Large,r5ad.2xlarge,r5ad,0 units,unknown,x86_64,, $405.880 , $264.260 , $352.517 , $674.52 
R5AD Quadruple Extra Large,r5ad.4xlarge,r5ad,0 units,unknown,x86_64,, $811.030 , $481.800 , $542.463 ," $1,348.31 "
R5AD Eight Extra Large,r5ad.8xlarge,r5ad,0 units,unknown,x86_64,," $1,622.060 ", $963.600 , $904.981 ," $2,696.62 "
R5AD Large,r5ad.large,r5ad,0 units,unknown,x86_64,, $101.470 , $65.700 , $87.819 , $168.63 
R5AD Extra Large,r5ad.xlarge,r5ad,0 units,unknown,x86_64,, $202.940 , $120.450 , $159.213 , $337.26 
R5B 12xlarge Extra Large,r5b.12xlarge,r5b,0 units,Yes,x86_64,," $2,871.528 "," $1,809.063 "," $1,976.840 "," $4,483.37 "
R5B 16xlarge Extra Large,r5b.16xlarge,r5b,0 units,Yes,x86_64,," $3,828.704 "," $2,412.084 "," $1,966.985 "," $5,977.82 "
R5B 24xlarge,r5b.24xlarge,r5b,0 units,Yes,x86_64,," $5,743.056 "," $3,289.205 "," $2,798.893 "," $8,966.74 "
R5B Double Extra Large,r5b.2xlarge,r5b,0 units,Yes,x86_64,, $478.588 , $274.100 , $435.007 , $747.23 
R5B Quadruple Extra Large,r5b.4xlarge,r5b,0 units,Yes,x86_64,, $957.176 , $548.201 , $763.653 ," $1,494.46 "
R5B Eight Extra Large,r5b.8xlarge,r5b,0 units,Yes,x86_64,," $1,914.352 "," $1,096.402 "," $1,598.846 "," $2,988.91 "
R5B Large,r5b.large,r5b,0 units,Yes,x86_64,, $119.647 , $68.525 , $85.994 , $186.81 
R5B Metal,r5b.metal,r5b,0 units,Yes,x86_64,," $5,743.056 "," $3,289.205 "," $2,281.104 "," $8,966.74 "
R5B Extra Large,r5b.xlarge,r5b,0 units,Yes,x86_64,, $239.294 , $150.755 , $160.454 , $373.61 
R5D 12xlarge Extra Large,r5d.12xlarge,r5d,168 units,Yes,x86_64,," $2,674.720 "," $1,589.210 "," $1,181.286 "," $4,286.56 "
R5D 16xlarge Extra Large,r5d.16xlarge,r5d,256 units,Yes,x86_64,," $3,566.050 "," $2,321.400 "," $1,490.295 "," $5,715.17 "
R5D 24xlarge,r5d.24xlarge,r5d,337 units,Yes,x86_64,," $5,045.760 "," $3,179.150 "," $1,923.623 "," $8,269.44 "
R5D Double Extra Large,r5d.2xlarge,r5d,37 units,Yes,x86_64,, $446.030 , $289.810 , $402.449 , $714.67 
R5D Quadruple Extra Large,r5d.4xlarge,r5d,70 units,Yes,x86_64,, $891.330 , $580.350 , $601.155 ," $1,428.61 "
R5D Eight Extra Large,r5d.8xlarge,r5d,128 units,Yes,x86_64,," $1,782.660 "," $1,059.960 ", $960.899 ," $2,857.22 "
R5D Large,r5d.large,r5d,10 units,Yes,x86_64,, $111.690 , $66.430 , $102.419 , $178.85 
R5D Metal,r5d.metal,r5d,347 units,Yes,x86_64,," $5,045.760 "," $3,179.150 "," $2,080.281 "," $8,269.44 "
R5D Extra Large,r5d.xlarge,r5d,19 units,Yes,x86_64,, $222.650 , $145.270 , $178.777 , $356.97 
R5DN 12xlarge Extra Large,r5dn.12xlarge,r5dn,0 units,unknown,x86_64,," $3,101.770 "," $2,019.180 ", unavailable ," $4,713.61 "
R5DN 16xlarge Extra Large,r5dn.16xlarge,r5dn,0 units,unknown,x86_64,," $4,135.450 "," $2,457.910 ", unavailable ," $6,284.57 "
R5DN 24xlarge,r5dn.24xlarge,r5dn,0 units,unknown,x86_64,," $5,851.680 "," $3,686.500 ", unavailable ," $9,075.36 "
R5DN Double Extra Large,r5dn.2xlarge,r5dn,0 units,unknown,x86_64,, $516.840 , $307.330 , unavailable , $785.48 
R5DN Quadruple Extra Large,r5dn.4xlarge,r5dn,0 units,unknown,x86_64,," $1,033.680 ", $614.660 , unavailable ," $1,570.96 "
R5DN Eight Extra Large,r5dn.8xlarge,r5dn,0 units,unknown,x86_64,," $2,068.090 "," $1,228.590 ", unavailable ," $3,142.65 "
R5DN Large,r5dn.large,r5dn,0 units,unknown,x86_64,, $129.210 , $76.650 , unavailable , $196.37 
R5DN Metal,r5dn.metal,r5dn,0 units,unknown,x86_64,," $5,851.680 "," $3,686.500 "," $1,694.841 "," $9,075.36 "
R5DN Extra Large,r5dn.xlarge,r5dn,0 units,unknown,x86_64,, $258.420 , $153.300 , unavailable , $392.74 
R5N 12xlarge Extra Large,r5n.12xlarge,r5n,0 units,Yes,x86_64,," $2,767.430 "," $1,644.690 "," $1,162.963 "," $4,379.27 "
R5N 16xlarge Extra Large,r5n.16xlarge,r5n,0 units,Yes,x86_64,," $3,689.420 "," $2,192.920 "," $1,378.824 "," $5,838.54 "
R5N 24xlarge,r5n.24xlarge,r5n,0 units,Yes,x86_64,," $5,220.960 "," $3,289.380 "," $2,124.154 "," $8,444.64 "
R5N Double Extra Large,r5n.2xlarge,r5n,0 units,Yes,x86_64,, $461.360 , $300.030 , $334.413 , $730.00 
R5N Quadruple Extra Large,r5n.4xlarge,r5n,0 units,Yes,x86_64,, $922.720 , $600.060 , $595.096 ," $1,460.00 "
R5N Eight Extra Large,r5n.8xlarge,r5n,0 units,Yes,x86_64,," $1,844.710 "," $1,200.850 ", $751.681 ," $2,919.27 "
R5N Large,r5n.large,r5n,0 units,Yes,x86_64,, $115.340 , $75.190 , $93.075 , $182.50 
R5N Metal,r5n.metal,r5n,0 units,Yes,x86_64,," $5,220.960 "," $3,289.380 "," $1,631.331 "," $8,444.64 "
R5N Extra Large,r5n.xlarge,r5n,0 units,Yes,x86_64,, $230.680 , $137.240 , $156.366 , $365.00 
R6A 12xlarge Extra Large,r6a.12xlarge,r6a,0 units,unknown,x86_64,," $2,185.445 "," $1,445.670 ", $989.369 ," $3,797.28 "
R6A 16xlarge Extra Large,r6a.16xlarge,r6a,0 units,unknown,x86_64,," $2,913.926 "," $1,927.565 "," $1,126.390 "," $5,063.05 "
R6A 24xlarge,r6a.24xlarge,r6a,0 units,unknown,x86_64,," $4,370.890 "," $2,891.340 "," $1,768.060 "," $7,594.57 "
R6A Double Extra Large,r6a.2xlarge,r6a,0 units,unknown,x86_64,, $364.241 , $219.044 , $252.872 , $632.88 
R6A 32xlarge,r6a.32xlarge,r6a,0 units,unknown,x86_64,," $5,827.853 "," $3,504.657 "," $2,021.954 "," $10,126.09 "
R6A 48xlarge,r6a.48xlarge,r6a,0 units,unknown,x86_64,," $7,947.072 "," $5,256.986 "," $2,692.605 "," $14,394.43 "
R6A Quadruple Extra Large,r6a.4xlarge,r6a,0 units,unknown,x86_64,, $728.482 , $438.080 , $439.971 ," $1,265.76 "
R6A Eight Extra Large,r6a.8xlarge,r6a,0 units,unknown,x86_64,," $1,456.963 ", $963.783 , $528.812 ," $2,531.52 "
R6A Large,r6a.large,r6a,0 units,unknown,x86_64,, $91.060 , $60.240 , $77.234 , $158.22 
R6A Metal,r6a.metal,r6a,0 units,unknown,x86_64,," $7,947.072 "," $5,256.986 "," $2,704.796 "," $14,394.43 "
R6A Extra Large,r6a.xlarge,r6a,0 units,unknown,x86_64,, $182.120 , $109.522 , $114.245 , $316.44 
R6G 12xlarge Extra Large,r6g.12xlarge,r6g,0 units,unknown,arm64,," $1,872.012 "," $1,112.593 ", $744.527 , unavailable 
R6G 16xlarge Extra Large,r6g.16xlarge,r6g,0 units,unknown,arm64,," $2,495.943 "," $1,624.761 "," $1,458.978 ", unavailable 
R6G Double Extra Large,r6g.2xlarge,r6g,0 units,unknown,arm64,, $312.002 , $185.420 , $223.818 , unavailable 
R6G Quadruple Extra Large,r6g.4xlarge,r6g,0 units,unknown,arm64,, $624.004 , $370.840 , $320.324 , unavailable 
R6G Eight Extra Large,r6g.8xlarge,r6g,0 units,unknown,arm64,," $1,248.008 ", $812.344 , $531.221 , unavailable 
R6G Large,r6g.large,r6g,0 units,unknown,arm64,, $77.964 , $50.808 , $67.890 , unavailable 
R6G Medium,r6g.medium,r6g,0 units,unknown,arm64,, $38.982 , $25.404 , $35.916 , unavailable 
R6G Metal,r6g.metal,r6g,0 units,unknown,arm64,," $2,495.943 "," $1,624.761 ", $978.419 , unavailable 
R6G Extra Large,r6g.xlarge,r6g,0 units,unknown,arm64,, $156.001 , $92.710 , $106.580 , unavailable 
R6GD 12xlarge Extra Large,r6gd.12xlarge,r6gd,0 units,unknown,arm64,," $2,139.411 "," $1,271.514 ", $826.214 , unavailable 
R6GD 16xlarge Extra Large,r6gd.16xlarge,r6gd,0 units,unknown,arm64,," $2,852.548 "," $1,856.828 "," $1,887.123 ", unavailable 
R6GD Double Extra Large,r6gd.2xlarge,r6gd,0 units,unknown,arm64,, $356.532 , $232.140 , $271.779 , unavailable 
R6GD Quadruple Extra Large,r6gd.4xlarge,r6gd,0 units,unknown,arm64,, $713.137 , $464.207 , $448.804 , unavailable 
R6GD Eight Extra Large,r6gd.8xlarge,r6gd,0 units,unknown,arm64,," $1,426.274 ", $847.676 , $760.733 , unavailable 
R6GD Large,r6gd.large,r6gd,0 units,unknown,arm64,, $89.133 , $52.998 , $76.796 , unavailable 
R6GD Medium,r6gd.medium,r6gd,0 units,unknown,arm64,, $44.603 , $26.499 , $37.887 , unavailable 
R6GD Metal,r6gd.metal,r6gd,0 units,unknown,arm64,," $2,852.548 "," $1,856.828 "," $1,050.762 ", unavailable 
R6GD Extra Large,r6gd.xlarge,r6gd,0 units,unknown,arm64,, $178.266 , $116.070 , $126.801 , unavailable 
R6I 12xlarge Extra Large,r6i.12xlarge,r6i,0 units,Yes,x86_64,," $2,428.272 "," $1,460.277 ", $942.576 ," $4,040.11 "
R6I 16xlarge Extra Large,r6i.16xlarge,r6i,0 units,Yes,x86_64,," $3,237.696 "," $1,947.034 "," $1,231.218 "," $5,386.82 "
R6I 24xlarge,r6i.24xlarge,r6i,0 units,Yes,x86_64,," $4,856.544 "," $2,920.548 "," $1,846.535 "," $8,080.22 "
R6I Double Extra Large,r6i.2xlarge,r6i,0 units,Yes,x86_64,, $404.712 , $243.382 , $247.397 , $673.35 
R6I 32xlarge,r6i.32xlarge,r6i,0 units,Yes,x86_64,," $5,886.720 "," $3,894.068 "," $2,246.210 "," $10,184.96 "
R6I Quadruple Extra Large,r6i.4xlarge,r6i,0 units,Yes,x86_64,, $809.424 , $535.433 , $448.804 ," $1,346.70 "
R6I Eight Extra Large,r6i.8xlarge,r6i,0 units,Yes,x86_64,," $1,618.848 ", $973.513 , $676.345 ," $2,693.41 "
R6I Large,r6i.large,r6i,0 units,Yes,x86_64,, $101.178 , $66.926 , $76.504 , $168.34 
R6I Metal,r6i.metal,r6i,0 units,Yes,x86_64,," $5,886.720 "," $3,894.068 "," $2,043.562 "," $10,184.96 "
R6I Extra Large,r6i.xlarge,r6i,0 units,Yes,x86_64,, $202.356 , $133.860 , $126.874 , $336.68 
R6ID 12xlarge Extra Large,r6id.12xlarge,r6id,0 units,Yes,x86_64,," $2,913.926 "," $1,664.838 "," $1,346.120 "," $4,525.77 "
R6ID 16xlarge Extra Large,r6id.16xlarge,r6id,0 units,Yes,x86_64,," $3,885.235 "," $2,219.784 "," $1,532.708 "," $6,034.36 "
R6ID 24xlarge,r6id.24xlarge,r6id,0 units,Yes,x86_64,," $5,827.853 "," $3,662.644 "," $2,321.400 "," $9,051.53 "
R6ID Double Extra Large,r6id.2xlarge,r6id,0 units,Yes,x86_64,, $485.654 , $305.220 , $288.496 , $754.29 
R6ID 32xlarge,r6id.32xlarge,r6id,0 units,Yes,x86_64,," $7,064.064 "," $4,439.568 "," $3,196.597 "," $11,362.30 "
R6ID Quadruple Extra Large,r6id.4xlarge,r6id,0 units,Yes,x86_64,, $971.309 , $610.441 , $571.079 ," $1,508.59 "
R6ID Eight Extra Large,r6id.8xlarge,r6id,0 units,Yes,x86_64,," $1,942.618 "," $1,220.881 ", $962.578 ," $3,017.18 "
R6ID Large,r6id.large,r6id,0 units,Yes,x86_64,, $121.414 , $69.372 , $87.162 , $188.57 
